,Certifier Name,Certifier Website,Certifier Email Address,Operation ID,Operation Name,Other/Former Names,Client ID,Contact First Name,Contact Last Name,Operation Certification Status,Effective Date of Operation Status,NOP Anniversary Date,CROPS Scope Certification Status,Effective Date of CROPS Status,Certified Products Under CROPS Scope,Additional Certified Products Under CROPS Scope ,Certificate Numbers for Certified Products under CROPS Scope,LIVESTOCK Scope Certification Status,Effective Date of LIVESTOCK Status,Certified Products Under LIVESTOCK Scope,Additional Certified Products Under LIVESTOCK Scope,Certificate Numbers for Certified Products under LIVESTOCK Scope,WILD CROPS Scope Certification Status,Effective Date of WILD CROPS Status,Certified Products Under WILD CROPS Scope,Additional Certified Products Under WILD CROPS Scope,Certificate Numbers for Certified Products Under WILD CROPS Scope,HANDLING Scope Certification Status,Effective Date of HANDLING Status,Certified Products Under HANDLING Scope,Additional Certified Products Under HANDLING Scope,Certificate Numbers for Certified Products Under HANDLING Scope,Physical Address: Street 1,Physical Address: Street 2,Physical Address: City,Physical Address: State/Province,Physical Address: Country,Physical Address: ZIP/ Postal Code,County Code,County,Mailing Address: Street 1,Mailing Address: Street 2,Mailing Address: City,Mailing Address: State/Province,Mailing Address: Country,Mailing Address: ZIP/ Postal Code,County Code.1,County.1,Phone,Email,Website URL,Additional Information ,Broker,Community Supported Agriculture (CSA),Co-Packer,Dairy,Distributor,Marketer/Trader,Restaurant,Retail Food Establishment,Poultry,Private Labeler,Slaughterhouse,Storage,Grower Group,Data as of Date,Organic Certificate
0,Required,Required,Required,Required,Required,Optional ,Optional,Optional,Optional,Required,Required,Optional,Optional,Optional,Required,,Optional,Optional,Optional,,,,Optional,Optional,,,,Optional,Optional,,,,Required,Optional,Required (US),Required (US),Required,Required (US),Optional,Optional,Required,Optional,Required (US),Required (US),Required,Required (US),Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Required,Optional
1,More information about Accredited Certifying Agents can be found at https://www.ams.usda.gov/services/organic-certification/certifying-agents,From Certifier Profile,From Certifier Profile,NOP's 10-digit unique ID for operation.  First 3 numbers are Certifier ID; last 7 numbers are assigned by the Certifier.,Operation's business name,Other names that the operation is doing or has done business as,Client ID issued by certifier. This can be any identifier that the Certifier uses to identify the operation. No constraints on format. ,,,Certified/ Surrendered/ Suspended/ Revoked,Date the selected Operation Certification Status became effective. MM/DD/YYYY,"Date of annual update for certificate, at operation level. May include renewal, inspection, or verification.        MM/DD/YYYY",Certified/ Surrendered/ Suspended,MM/DD/YYYY,Category: Item Name/Other Item (Item Variety),Category: Item Name/Other Item (Item Variety),Certificate numbers issued by Certifier.,Certified/ Surrendered/ Suspended,MM/DD/YYYY,Category: Item Name/Other Item (Item Variety),Category: Item Name/Other Item (Item Variety),Certificate numbers issued by Certifier.,Certified/ Surrendered/ Suspended,MM/DD/YYYY,Category: Item Name/Other Item (Item Variety),Category: Item Name/Other Item (Item Variety),Certificate numbers issued by Certifier.,Certified/ Surrendered/ Suspended,MM/DD/YYYY,Category: Item Name/Other Item (Item Variety),Category: Item Name/Other Item (Item Variety),Certificate numbers issued by Certifier.,At least one of the two addresses (Physical or Mailing) is required,,,,,,,,At least one of the two addresses (Physical or Mailing) is required,,,,,,,,,,,Free text,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Date of last update by certifier. MM/DD/YYYY,Certificates are available for certified operations if the Certifier has selected to use INTEGRITY Certificate Module.
2,LETIS S.A.,www.letis.org,CALIDAD@LETIS.ORG,4490001495,104,,1495,,,Certified,2016-01-12 00:00:00,,Certified,2016-01-12 00:00:00,Other: Apples and Pears,,,,,,,,,,,,,,,,,,Zonal rural,,Chichinales,Rio Negro,Argentina,8326,,,Zonal rural,,Chichinales,Rio Negro,Argentina,8326,,,,,,NOP/COR,,,,,,,,,,,,,,2017-12-27 00:00:00,0
3,LETIS S.A.,www.letis.org,CALIDAD@LETIS.ORG,4490001496,108,,1496,,,Certified,2016-01-12 00:00:00,,Certified,2016-01-12 00:00:00,Other: Apples and Pears,,,,,,,,,,,,,,,,,,Zonal rural,,Chichinales,Rio Negro,Argentina,8326,,,Zonal rural,,Chichinales,Rio Negro,Argentina,8326,,,,,,NOP/COR,,,,,,,,,,,,,,2017-12-27 00:00:00,0
4,LETIS S.A.,www.letis.org,CALIDAD@LETIS.ORG,4490001193,155,,1193,,,Certified,2015-01-24 00:00:00,,Certified,2015-01-24 00:00:00,Other: Pears,,,,,,,,,,,,,,,,,,Zona rural,,Gral Roca,Rio Negro,Argentina,8332,,,Zona rural,,Gral Roca,Rio Negro,Argentina,8332,,,,,,NOP/COR,,,,,,,,,,,,,,2017-12-27 00:00:00,0
5,LETIS S.A.,www.letis.org,CALIDAD@LETIS.ORG,4490001194,171,,1194,,,Certified,2016-02-10 00:00:00,,Certified,2016-02-10 00:00:00,Other: Apples and Pears,,,,,,,,,,,,,,,,,,Zona rural,,Gral. Roca,Rio Negro,Argentina,8328,,,Zona rural,,Gral. Roca,Rio Negro,Argentina,8328,,,,,,NOP/COR,,,,,,,,,,,,,,2017-12-27 00:00:00,0
6,Organización Internacional Agropecuaria ,www.oia.com.ar,oia@oia.com.ar,5500001058,ADDCROP S.A.,BARADERO I,1058,,,Certified,2005-04-22 00:00:00,,Certified,2005-04-22 00:00:00,Other: SOYBEAN,,,,,,,,,,,,,,,,,,San Martín 3285,,Baradero,Buenos Aires,Argentina,2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
7,Organización Internacional Agropecuaria ,www.oia.com.ar,oia@oia.com.ar,5500001062,ADDCROP S.A.,BARADERO II,1062,,,Certified,2007-01-02 00:00:00,,Certified,2007-01-02 00:00:00,Other: SOYBEAN,,,,,,,,,,,,,,,,,,San Martín 3285,,Baradero,Buenos Aires,Argentina,2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-02 00:00:00,0
8,Organización Internacional Agropecuaria ,www.oia.com.ar,oia@oia.com.ar,5500004084,ADDCROP S.A.,EL PUESTO,4084,,,Certified,2010-01-14 00:00:00,,Certified,2010-01-14 00:00:00,"Other: CORN,",,,,,,,,,,,,,,,,,,San Martín 3285,,Baradero,Buenos Aires,Argentina,2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
9,Organización Internacional Agropecuaria ,www.oia.com.ar,oia@oia.com.ar,5500004668,ADDCROP S.A.,GARIBALDI 2,4668,,,Certified,2013-03-29 00:00:00,,Certified,2013-03-29 00:00:00,Other: CORN,,,,,,,,,,,,,,,,,,San Martín 3285,,Baradero,Buenos Aires,Argentina,2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-31 00:00:00,0
