,Certifier Name,Certifier Website,Certifier Email Address,Operation ID,Operation Name,Other/Former Names,Client ID,Contact First Name,Contact Last Name,Operation Certification Status,Effective Date of Operation Status,NOP Anniversary Date,CROPS Scope Certification Status,Effective Date of CROPS Status,Certified Products Under CROPS Scope,Additional Certified Products Under CROPS Scope ,Certificate Numbers for Certified Products under CROPS Scope,LIVESTOCK Scope Certification Status,Effective Date of LIVESTOCK Status,Certified Products Under LIVESTOCK Scope,Additional Certified Products Under LIVESTOCK Scope,Certificate Numbers for Certified Products under LIVESTOCK Scope,WILD CROPS Scope Certification Status,Effective Date of WILD CROPS Status,Certified Products Under WILD CROPS Scope,Additional Certified Products Under WILD CROPS Scope,Certificate Numbers for Certified Products Under WILD CROPS Scope,HANDLING Scope Certification Status,Effective Date of HANDLING Status,Certified Products Under HANDLING Scope,Additional Certified Products Under HANDLING Scope,Certificate Numbers for Certified Products Under HANDLING Scope,Physical Address: Street 1,Physical Address: Street 2,Physical Address: City,Physical Address: State/Province,Physical Address: Country,Physical Address: ZIP/ Postal Code,County Code,County,Mailing Address: Street 1,Mailing Address: Street 2,Mailing Address: City,Mailing Address: State/Province,Mailing Address: Country,Mailing Address: ZIP/ Postal Code,County Code.1,County.1,Phone,Email,Website URL,Additional Information ,Broker,Community Supported Agriculture (CSA),Co-Packer,Dairy,Distributor,Marketer/Trader,Restaurant,Retail Food Establishment,Poultry,Private Labeler,Slaughterhouse,Storage,Grower Group,Data as of Date,Organic Certificate
0,Required,Required,Required,Required,Required,Optional ,Optional,Optional,Optional,Required,Required,Optional,Optional,Optional,Required,,Optional,Optional,Optional,,,,Optional,Optional,,,,Optional,Optional,,,,Required,Optional,Required (US),Required (US),Required,Required (US),Optional,Optional,Required,Optional,Required (US),Required (US),Required,Required (US),Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Optional,Required,Optional
1,More information about Accredited Certifying Agents can be found at https://www.ams.usda.gov/services/organic-certification/certifying-agents,From Certifier Profile,From Certifier Profile,NOP's 10-digit unique ID for operation.  First 3 numbers are Certifier ID; last 7 numbers are assigned by the Certifier.,Operation's business name,Other names that the operation is doing or has done business as,Client ID issued by certifier. This can be any identifier that the Certifier uses to identify the operation. No constraints on format. ,,,Certified/ Surrendered/ Suspended/ Revoked,Date the selected Operation Certification Status became effective. MM/DD/YYYY,"Date of annual update for certificate, at operation level. May include renewal, inspection, or verification.        MM/DD/YYYY",Certified/ Surrendered/ Suspended,MM/DD/YYYY,Category: Item Name/Other Item (Item Variety),Category: Item Name/Other Item (Item Variety),Certificate numbers issued by Certifier.,Certified/ Surrendered/ Suspended,MM/DD/YYYY,Category: Item Name/Other Item (Item Variety),Category: Item Name/Other Item (Item Variety),Certificate numbers issued by Certifier.,Certified/ Surrendered/ Suspended,MM/DD/YYYY,Category: Item Name/Other Item (Item Variety),Category: Item Name/Other Item (Item Variety),Certificate numbers issued by Certifier.,Certified/ Surrendered/ Suspended,MM/DD/YYYY,Category: Item Name/Other Item (Item Variety),Category: Item Name/Other Item (Item Variety),Certificate numbers issued by Certifier.,At least one of the two addresses (Physical or Mailing) is required,,,,,,,,At least one of the two addresses (Physical or Mailing) is required,,,,,,,,,,,Free text,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Yes as applicable,Date of last update by certifier. MM/DD/YYYY,Certificates are available for certified operations if the Certifier has selected to use INTEGRITY Certificate Module.
2,Control Union Certifications,certifications.controlunion.com/en,organic@controlunion.com,1780877210,Aceitera Peninsular Española S.L,,,,,Certified,2021-02-23 00:00:00,,,,,,,,,,,,,,,,,Certified,2021-02-23 00:00:00,"Other: Organic Crude grapeseed oil, Organic Crude high oleic sunflower oil, Organic Raw almond oil, Organic refined avocado oil, Organic Virgin avocado oil",,,"C/ Rihuelo, s/n.",,Priego de Córdoba,Cordoba,Spain,14800,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23 00:00:00,0
3,CAAE Certification Service,www.caae.es,rporto@caae.es,6250027008,"ACEITES BALCON DEL SUR, S.L.",,27008/I,Encarnacion,Palomar Sanchez,Certified,2017-08-01 00:00:00,2018-07-07 00:00:00,,,,,,,,,,,,,,,,Certified,2017-08-01 00:00:00,Oils & Oleoresins: Oils (Olive Oil),,CE-007856-2017,C/ALMERIA 2 A,,PRIEGO DE CÓRDOBA,CÓRDOBA,Spain,14800,,,"PASEO DE LA CUEVA, 5",,GABIAS (LAS),GRANADA,Spain,18110,,,639894428,administracion@balcondelsur.es,,,,,,,,Yes,,,,,,,,2017-12-13 00:00:00,0
4,Control Union Certifications,certifications.controlunion.com/en,organic@controlunion.com,1780816881,"ACEITES GARCIA DE LA CRUZ, S. L.",,,,,Certified,2021-03-31 00:00:00,,,,,,,,,,,,,,,,,Certified,2021-03-31 00:00:00,"Other: Olive oil extra virgin, Olive oil virgin, Olive oil virginOlive oil extra virgin",,,"C/ REYES CATÓLICOS, 23",,MADRIDEJOS,TOLEDO,Spain,45710,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23 00:00:00,0
5,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7880179185,"ACEITES GUADALENTIN, SL",,179185,,,Certified,2017-11-23 00:00:00,,,,,,,,,,,,,,,,,Certified,2017-11-23 00:00:00,Other: Crude olive oil,,,"Avda. Ntra. Señora de los Dolores, 45",,Pozo Alcón (JAEN),"ESPAÑA, ANDALUCIA",Spain,23485,,,,,,,,,,,953738035,azamora@aceitesguadalentin.com,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
6,Control Union Certifications,certifications.controlunion.com/en,organic@controlunion.com,1780851919,ACEITES MAEVA S.L.,,,,,Certified,2020-12-07 00:00:00,,,,,,,,,,,,,,,,,Certified,2020-12-07 00:00:00,Other: Extra-Virgin Olive Oil,,,PARQUE METROPOLITANO AVD. INCAR Nº8,,ESCÚZAR,GRANADA,Spain,18130,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-23 00:00:00,0
7,EcoCert S.A.,www.ecocert.com,office.international@ecocert.com,7880168747,"ACEITES NATURALES DEL SUR, SL",,168747,,,Certified,2017-01-19 00:00:00,,,,,,,,,,,,,,,,,Certified,2017-01-19 00:00:00,Other: Argan oil,,,"Paseo del Puerto, s/n, Polígono Industrial",,Jaén,,Spain,23110,,,,,,,,,,,957607430,acano@aceitesnaturalesdelsur.com,,,,,,,,,,,,,,,,2021-03-16 00:00:00,0
8,CAAE Certification Service,www.caae.es,rporto@caae.es,6250026655,"ACEITUNAS GUADALQUIVIR, SL",,26655,Francisco Javier,Escalante Terron,Certified,2017-07-12 00:00:00,2021-02-22 00:00:00,,,,,,,,,,,,,,,,Certified,2017-07-12 00:00:00,"Fruits/Vegetables: Vegetables (Natural black olives, Boneless green olives, Green olives, Stuffed Green Olives with garlic, Stuffed Green olives with jalapeno, Stuffed Green olives with pepper)",,CE-002328-2020,"C/ CAMINO DE LA ALCOBA, S/N",,MORON DE LA FORNTERA,SEVILLA,Spain,41530,,,"C/ CAMINO DE LA ALCOBA, S/N",,MORON DE LA FORNTERA,SEVILLA,Spain,41530,,,955854710,fjescalante@agolives.com,,,,,,,,,,,,,,,,2020-05-06 00:00:00,0
9,CAAE Certification Service,www.caae.es,rporto@caae.es,6250029028,"ACEITUNAS MONTEGIL, SL",,29028,Antonio Jose,Escalante Sanchez,Certified,2019-01-10 00:00:00,2019-10-24 00:00:00,,,,,,,,,,,,,,,,Certified,2019-01-10 00:00:00,"Other: Boneless green olives, Green olives",,CE-000285-2019,,,,,,,,,"POZO DE SEVILLA, Nº 2.",,MORON DE LA FRONTERA,Sevilla,Spain,41530,,,696424983,montegil@montegil.es,,,,,,,,,,,,,,,,2019-06-17 00:00:00,0
